attribute,weights
Thin,"{'00044-04': Decimal('1'), '00071-05': Decimal('1'), '00064-11': Decimal('1'), '00042-08': Decimal('1'), '00072-10': Decimal('1'), '00070-12': Decimal('1'), '00056-11': Decimal('1'), '00073-05': Decimal('1'), '00052-01': Decimal('1'), '00007-04': Decimal('1'), '00006-12': Decimal('1'), '00080-10': Decimal('1'), '00005-06': Decimal('1'), '00068-09': Decimal('1'), '00065-10': Decimal('1'), '00067-12': Decimal('1'), '00045-06': Decimal('1'), '00068-01': Decimal('1'), '00001-07': Decimal('1'), '00024-05': Decimal('1'), '00001-05': Decimal('1'), '00003-07': Decimal('1'), '00055-09': Decimal('1'), '00010-01': Decimal('1'), '00015-11': Decimal('1'), '00030-10': Decimal('1'), '00053-01': Decimal('1'), '00058-05': Decimal('1'), '00078-12': Decimal('2'), '00011-04': Decimal('1'), '00061-07': Decimal('1'), '00030-06': Decimal('1'), '00015-07': Decimal('1'), '00022-12': Decimal('1'), '00063-06': Decimal('1'), '00080-07': Decimal('1'), '00020-11': Decimal('1'), '00026-11': Decimal('1'), '00026-12': Decimal('1')}"
Sizzling,"{'00066-01': Decimal('1'), '00067-02': Decimal('1'), '00022-09': Decimal('1'), '00019-06': Decimal('1'), '00023-04': Decimal('1'), '00026-08': Decimal('1'), '00076-06': Decimal('1'), '00052-06': Decimal('1'), '00012-03': Decimal('1'), '00076-08': Decimal('1'), '00051-06': Decimal('1'), '00036-04': Decimal('1'), '00039-02': Decimal('1'), '00015-01': Decimal('1'), '00058-05': Decimal('1'), '00052-10': Decimal('1'), '00007-05': Decimal('1'), '00003-10': Decimal('1'), '00041-08': Decimal('1'), '00026-02': Decimal('1'), '00060-02': Decimal('1'), '00047-03': Decimal('1')}"
Bell-like,"{'00067-02': Decimal('1'), '00067-01': Decimal('1'), '00051-07': Decimal('1'), '00002-05': Decimal('1'), '00014-04': Decimal('1'), '00074-01': Decimal('1'), '00059-02': Decimal('1'), '00036-05': Decimal('1'), '00016-03': Decimal('1'), '00039-01': Decimal('1'), '00053-01': Decimal('1'), '00034-01': Decimal('1'), '00019-01': Decimal('1'), '00006-01': Decimal('1'), '00009-06': Decimal('1'), '00056-06': Decimal('1'), '00047-11': Decimal('1'), '00048-01': Decimal('1'), '00080-08': Decimal('1'), '00041-04': Decimal('1'), '00021-01': Decimal('1'), '00063-12': Decimal('1')}"
Refined,"{'00070-04': Decimal('1'), '00065-12': Decimal('1'), '00046-09': Decimal('1'), '00039-08': Decimal('1'), '00052-02': Decimal('1'), '00059-06': Decimal('1'), '00075-06': Decimal('1'), '00019-01': Decimal('1'), '00075-05': Decimal('1'), '00031-12': Decimal('1'), '00025-03': Decimal('1'), '00026-04': Decimal('1'), '00048-12': Decimal('1'), '00029-08': Decimal('1'), '00049-11': Decimal('1'), '00049-06': Decimal('1'), '00064-01': Decimal('1'), '00043-10': Decimal('1'), '00049-04': Decimal('1')}"
Flabby,"{'00068-04': Decimal('1'), '00024-09': Decimal('1'), '00068-11': Decimal('1'), '00022-04': Decimal('1'), '00044-09': Decimal('1'), '00075-04': Decimal('1'), '00059-02': Decimal('1'), '00004-09': Decimal('1'), '00053-03': Decimal('1'), '00003-02': Decimal('1'), '00012-06': Decimal('1'), '00040-05': Decimal('1'), '00022-12': Decimal('1'), '00007-11': Decimal('1'), '00063-11': Decimal('1'), '00048-05': Decimal('1'), '00061-11': Decimal('1'), '00047-02': Decimal('1')}"
Articulate,"{'00021-05': Decimal('1'), '00044-04': Decimal('1'), '00020-12': Decimal('1'), '00044-05': Decimal('1'), '00019-05': Decimal('1'), '00017-08': Decimal('1'), '00025-08': Decimal('1'), '00079-08': Decimal('1'), '00054-02': Decimal('1'), '00055-02': Decimal('1'), '00012-08': Decimal('1'), '00035-06': Decimal('1'), '00007-03': Decimal('1'), '00005-05': Decimal('1'), '00041-05': Decimal('1'), '00026-05': Decimal('1'), '00066-01': Decimal('1'), '00018-04': Decimal('1'), '00049-08': Decimal('1'), '00065-11': Decimal('1'), '00051-07': Decimal('1'), '00020-06': Decimal('1'), '00059-11': Decimal('1'), '00014-04': Decimal('1'), '00013-12': Decimal('1'), '00053-06': Decimal('1'), '00031-12': Decimal('1'), '00032-06': Decimal('1'), '00015-07': Decimal('1'), '00080-09': Decimal('1'), '00049-11': Decimal('1'), '00021-01': Decimal('1'), '00046-01': Decimal('1'), '00065-04': Decimal('1'), '00026-12': Decimal('1'), '00041-11': Decimal('1')}"
Artificial,"{'00042-02': Decimal('1'), '00023-09': Decimal('1'), '00063-10': Decimal('1'), '00025-07': Decimal('1'), '00042-06': Decimal('1'), '00035-10': Decimal('1'), '00070-10': Decimal('1'), '00055-07': Decimal('1'), '00015-03': Decimal('1'), '00018-10': Decimal('1'), '00009-07': Decimal('1'), '00054-10': Decimal('1'), '00036-06': Decimal('1'), '00028-07': Decimal('1'), '00061-02': Decimal('1'), '00026-05': Decimal('1'), '00048-06': Decimal('1'), '00028-03': Decimal('1'), '00025-10': Decimal('1'), '00064-01': Decimal('1'), '00062-01': Decimal('1'), '00023-10': Decimal('1')}"
Vibrant,"{'00044-03': Decimal('1'), '00066-11': Decimal('1'), '00059-10': Decimal('1'), '00013-01': Decimal('1'), '00056-10': Decimal('1'), '00035-04': Decimal('1'), '00016-12': Decimal('1'), '00033-11': Decimal('1'), '00036-01': Decimal('1'), '00057-06': Decimal('1'), '00022-12': Decimal('1'), '00063-12': Decimal('1'), '00027-11': Decimal('1'), '00064-03': Decimal('1')}"
Bassy,"{'00070-07': Decimal('1'), '00039-10': Decimal('1'), '00028-09': Decimal('1'), '00025-09': Decimal('1'), '00019-09': Decimal('1'), '00054-09': Decimal('1'), '00059-11': Decimal('1'), '00039-08': Decimal('1'), '00058-11': Decimal('1'), '00053-03': Decimal('1'), '00053-04': Decimal('1'), '00019-02': Decimal('1'), '00038-02': Decimal('1'), '00015-09': Decimal('1'), '00032-06': Decimal('1'), '00040-05': Decimal('1'), '00064-12': Decimal('1'), '00041-02': Decimal('1'), '00025-01': Decimal('1'), '00007-10': Decimal('1')}"
Choked,"{'00066-01': Decimal('1'), '00068-03': Decimal('1'), '00071-08': Decimal('1'), '00065-12': Decimal('1'), '00039-10': Decimal('1'), '00071-09': Decimal('1'), '00035-10': Decimal('1'), '00038-06': Decimal('1'), '00018-10': Decimal('1'), '00015-01': Decimal('1'), '00070-03': Decimal('2'), '00015-10': Decimal('1'), '00078-06': Decimal('1'), '00018-12': Decimal('1'), '00005-01': Decimal('1'), '00057-07': Decimal('1'), '00029-10': Decimal('1'), '00033-03': Decimal('1'), '00062-07': Decimal('1'), '00037-09': Decimal('1'), '00003-04': Decimal('1'), '00006-07': Decimal('1'), '00065-03': Decimal('1')}"
Balanced,"{'00021-02': Decimal('1'), '00027-08': Decimal('1'), '00077-08': Decimal('1'), '00054-06': Decimal('1'), '00015-02': Decimal('1'), '00056-11': Decimal('1'), '00019-01': Decimal('1'), '00010-06': Decimal('1'), '00007-03': Decimal('1'), '00014-06': Decimal('1'), '00009-09': Decimal('1'), '00028-05': Decimal('1'), '00028-03': Decimal('1'), '00066-04': Decimal('1'), '00064-03': Decimal('1'), '00044-12': Decimal('1'), '00045-02': Decimal('1'), '00018-04': Decimal('1'), '00070-07': Decimal('1'), '00053-05': Decimal('1'), '00003-09': Decimal('1'), '00035-04': Decimal('1'), '00038-12': Decimal('1'), '00038-09': Decimal('1'), '00032-06': Decimal('1'), '00008-08': Decimal('1'), '00001-10': Decimal('1'), '00040-02': Decimal('1'), '00029-05': Decimal('1'), '00027-03': Decimal('1'), '00025-01': Decimal('1')}"
Chimey,"{'00044-04': Decimal('1'), '00018-02': Decimal('1'), '00044-03': Decimal('1'), '00042-04': Decimal('1'), '00042-06': Decimal('1'), '00044-07': Decimal('1'), '00074-01': Decimal('1'), '00053-04': Decimal('1'), '00055-03': Decimal('1'), '00032-04': Decimal('1'), '00052-10': Decimal('1'), '00006-01': Decimal('1'), '00005-05': Decimal('1'), '00021-01': Decimal('1'), '00046-12': Decimal('1')}"
Metallic,"{'00063-10': Decimal('1'), '00018-06': Decimal('1'), '00016-03': Decimal('1'), '00052-11': Decimal('1'), '00072-03': Decimal('1'), '00035-12': Decimal('1'), '00003-11': Decimal('1'), '00005-03': Decimal('1'), '00012-09': Decimal('1'), '00003-02': Decimal('1'), '00074-10': Decimal('1'), '00007-06': Decimal('1'), '00005-06': Decimal('1'), '00061-02': Decimal('1'), '00046-11': Decimal('1'), '00024-11': Decimal('1')}"
Big,"{'00044-04': Decimal('1'), '00066-12': Decimal('1'), '00048-08': Decimal('1'), '00070-07': Decimal('1'), '00043-04': Decimal('1'), '00021-02': Decimal('1'), '00075-01': Decimal('1'), '00039-02': Decimal('1'), '00013-11': Decimal('1'), '00018-11': Decimal('1'), '00071-12': Decimal('1'), '00033-11': Decimal('1'), '00055-03': Decimal('1'), '00056-04': Decimal('1'), '00076-10': Decimal('1'), '00038-08': Decimal('1'), '00041-09': Decimal('1'), '00008-08': Decimal('1'), '00048-12': Decimal('1'), '00026-10': Decimal('1'), '00041-12': Decimal('1'), '00042-11': Decimal('1'), '00044-01': Decimal('1')}"
Boomy,"{'00023-09': Decimal('1'), '00039-10': Decimal('1'), '00002-06': Decimal('1'), '00002-05': Decimal('1'), '00054-09': Decimal('1'), '00054-08': Decimal('1'), '00059-02': Decimal('1'), '00013-01': Decimal('1'), '00036-05': Decimal('1'), '00074-11': Decimal('1'), '00050-01': Decimal('1'), '00018-12': Decimal('1'), '00077-10': Decimal('1'), '00031-06': Decimal('1'), '00024-02': Decimal('1'), '00048-11': Decimal('1'), '00061-10': Decimal('1'), '00018-04': Decimal('1'), '00074-08': Decimal('1'), '00018-08': Decimal('1'), '00075-12': Decimal('1'), '00078-05': Decimal('1'), '00058-02': Decimal('1'), '00053-04': Decimal('1'), '00013-11': Decimal('1'), '00055-03': Decimal('1'), '00032-04': Decimal('1'), '00030-02': Decimal('1'), '00015-07': Decimal('1'), '00048-02': Decimal('1'), '00046-04': Decimal('1'), '00041-12': Decimal('1'), '00024-11': Decimal('1')}"
Dry,"{'00043-04': Decimal('1'), '00039-10': Decimal('1'), '00021-08': Decimal('1'), '00071-09': Decimal('1'), '00020-06': Decimal('1'), '00042-08': Decimal('1'), '00021-06': Decimal('1'), '00038-05': Decimal('2'), '00075-03': Decimal('1'), '00011-10': Decimal('1'), '00076-02': Decimal('1'), '00056-02': Decimal('1'), '00019-01': Decimal('1'), '00076-10': Decimal('1'), '00054-11': Decimal('1'), '00030-04': Decimal('2'), '00078-10': Decimal('1'), '00033-08': Decimal('1'), '00080-07': Decimal('1'), '00026-11': Decimal('1'), '00005-10': Decimal('1'), '00064-03': Decimal('1'), '00060-01': Decimal('1')}"
Chug,"{'00017-02': Decimal('1'), '00019-03': Decimal('1'), '00003-07': Decimal('1'), '00004-09': Decimal('1'), '00019-11': Decimal('1'), '00012-10': Decimal('1'), '00053-12': Decimal('1'), '00018-12': Decimal('1'), '00032-10': Decimal('1'), '00005-11': Decimal('1'), '00031-12': Decimal('1'), '00012-08': Decimal('1'), '00003-11': Decimal('1'), '00035-06': Decimal('1'), '00011-03': Decimal('1'), '00034-08': Decimal('1'), '00061-09': Decimal('1'), '00046-11': Decimal('1'), '00047-10': Decimal('1'), '00002-11': Decimal('1'), '00007-12': Decimal('1'), '00028-12': Decimal('1')}"
Boxy,"{'00073-07': Decimal('1'), '00019-08': Decimal('1'), '00036-02': Decimal('1'), '00050-03': Decimal('1'), '00070-10': Decimal('1'), '00059-02': Decimal('1'), '00074-12': Decimal('1'), '00013-01': Decimal('1'), '00018-12': Decimal('1'), '00054-10': Decimal('1'), '00060-05': Decimal('1'), '00014-09': Decimal('1'), '00064-05': Decimal('1'), '00028-06': Decimal('1'), '00041-02': Decimal('1'), '00064-03': Decimal('1'), '00018-06': Decimal('1'), '00073-11': Decimal('1'), '00019-11': Decimal('1'), '00058-02': Decimal('1'), '00054-01': Decimal('1'), '00004-01': Decimal('1'), '00057-08': Decimal('1'), '00030-04': Decimal('1'), '00013-05': Decimal('1'), '00022-12': Decimal('1'), '00041-12': Decimal('1'), '00024-11': Decimal('1'), '00044-02': Decimal('1')}"
Lush,"{'00070-05': Decimal('1'), '00018-04': Decimal('1'), '00046-09': Decimal('1'), '00055-08': Decimal('1'), '00011-01': Decimal('1'), '00039-02': Decimal('1'), '00074-06': Decimal('1'), '00073-05': Decimal('1'), '00034-12': Decimal('1'), '00057-03': Decimal('1'), '00004-10': Decimal('1'), '00004-05': Decimal('1'), '00024-02': Decimal('1'), '00028-05': Decimal('1'), '00029-06': Decimal('1'), '00045-01': Decimal('1'), '00005-10': Decimal('1')}"
Piercing,"{'00067-02': Decimal('1'), '00023-09': Decimal('1'), '00046-08': Decimal('1'), '00069-01': Decimal('1'), '00023-05': Decimal('1'), '00010-12': Decimal('2'), '00018-10': Decimal('1'), '00015-01': Decimal('1'), '00077-04': Decimal('1'), '00052-01': Decimal('1'), '00009-07': Decimal('1'), '00010-05': Decimal('1'), '00018-02': Decimal('1'), '00028-09': Decimal('1'), '00018-09': Decimal('1'), '00003-07': Decimal('1'), '00053-04': Decimal('1'), '00078-04': Decimal('1'), '00037-02': Decimal('1'), '00028-10': Decimal('1'), '00079-01': Decimal('1'), '00005-11': Decimal('1'), '00061-03': Decimal('1'), '00048-01': Decimal('1')}"
Grunting,"{'00024-09': Decimal('1'), '00024-07': Decimal('1'), '00054-09': Decimal('1'), '00055-08': Decimal('1'), '00013-12': Decimal('1'), '00037-06': Decimal('1'), '00037-10': Decimal('1'), '00070-11': Decimal('1'), '00056-12': Decimal('1'), '00056-02': Decimal('1'), '00005-03': Decimal('1'), '00004-12': Decimal('1'), '00059-09': Decimal('1'), '00040-03': Decimal('1'), '00060-04': Decimal('1'), '00040-11': Decimal('1')}"
Warm,"{'00042-01': Decimal('1'), '00069-03': Decimal('1'), '00021-02': Decimal('1'), '00042-04': Decimal('1'), '00067-01': Decimal('1'), '00044-07': Decimal('1'), '00023-07': Decimal('1'), '00036-02': Decimal('1'), '00052-02': Decimal('1'), '00073-05': Decimal('1'), '00012-10': Decimal('1'), '00018-11': Decimal('1'), '00073-03': Decimal('1'), '00054-02': Decimal('1'), '00009-07': Decimal('1'), '00009-06': Decimal('1'), '00027-10': Decimal('1'), '00004-12': Decimal('1'), '00012-09': Decimal('1'), '00007-03': Decimal('1'), '00078-02': Decimal('1'), '00037-09': Decimal('1'), '00041-08': Decimal('1'), '00049-01': Decimal('1'), '00066-08': Decimal('2'), '00048-10': Decimal('1'), '00047-04': Decimal('1'), '00043-01': Decimal('1'), '00070-04': Decimal('1'), '00018-05': Decimal('1'), '00001-05': Decimal('1'), '00074-02': Decimal('1'), '00050-10': Decimal('1'), '00039-02': Decimal('1'), '00057-12': Decimal('1'), '00038-12': Decimal('1'), '00030-10': Decimal('1'), '00055-04': Decimal('1'), '00034-07': Decimal('1'), '00008-04': Decimal('1'), '00063-05': Decimal('1'), '00040-05': Decimal('1'), '00065-09': Decimal('1'), '00023-03': Decimal('1'), '00001-11': Decimal('1'), '00026-11': Decimal('1')}"
Hissing,"{'00044-08': Decimal('1'), '00071-09': Decimal('1'), '00044-09': Decimal('1'), '00075-04': Decimal('1'), '00036-04': Decimal('1'), '00011-02': Decimal('1'), '00015-02': Decimal('1'), '00015-01': Decimal('1'), '00007-04': Decimal('1'), '00077-11': Decimal('1'), '00030-11': Decimal('1'), '00033-09': Decimal('1'), '00007-06': Decimal('1'), '00035-09': Decimal('1'), '00060-03': Decimal('1'), '00045-02': Decimal('1'), '00042-12': Decimal('1'), '00074-08': Decimal('1'), '00050-11': Decimal('1'), '00051-01': Decimal('1'), '00057-08': Decimal('1'), '00063-09': Decimal('1'), '00029-08': Decimal('1'), '00029-03': Decimal('1')}"
Scooped,"{'00073-09': Decimal('1'), '00021-08': Decimal('1'), '00050-08': Decimal('1'), '00070-10': Decimal('1'), '00072-10': Decimal('1'), '00018-10': Decimal('1'), '00030-12': Decimal('1'), '00006-12': Decimal('1'), '00080-10': Decimal('1'), '00012-09': Decimal('1'), '00079-11': Decimal('1'), '00033-08': Decimal('1'), '00046-11': Decimal('1'), '00021-12': Decimal('1'), '00041-02': Decimal('1'), '00046-12': Decimal('1'), '00044-12': Decimal('1'), '00024-09': Decimal('1'), '00067-12': Decimal('1'), '00024-05': Decimal('1'), '00026-09': Decimal('1'), '00013-10': Decimal('1'), '00033-01': Decimal('1'), '00058-05': Decimal('1'), '00053-01': Decimal('1'), '00050-12': Decimal('1'), '00030-03': Decimal('1'), '00032-02': Decimal('1'), '00038-08': Decimal('1'), '00061-07': Decimal('1'), '00006-07': Decimal('1'), '00020-10': Decimal('1'), '00024-11': Decimal('1')}"
Hairy,"{'00020-08': Decimal('1'), '00045-09': Decimal('1'), '00068-11': Decimal('1'), '00025-09': Decimal('1'), '00026-09': Decimal('1'), '00013-04': Decimal('1'), '00058-01': Decimal('1'), '00004-09': Decimal('1'), '00055-08': Decimal('1'), '00057-12': Decimal('1'), '00054-05': Decimal('1'), '00056-01': Decimal('1'), '00038-02': Decimal('1'), '00032-04': Decimal('1'), '00004-01': Decimal('1'), '00037-08': Decimal('1'), '00079-11': Decimal('1'), '00024-02': Decimal('2'), '00066-08': Decimal('1'), '00027-03': Decimal('1'), '00043-10': Decimal('1'), '00029-03': Decimal('1'), '00045-02': Decimal('1')}"
Vintage,"{'00004-08': Decimal('1'), '00050-04': Decimal('1'), '00072-10': Decimal('1'), '00052-02': Decimal('1'), '00050-01': Decimal('1'), '00009-06': Decimal('1'), '00005-02': Decimal('1'), '00003-03': Decimal('1'), '00016-08': Decimal('1'), '00068-06': Decimal('1'), '00043-01': Decimal('1'), '00020-02': Decimal('1'), '00059-11': Decimal('1'), '00014-02': Decimal('1'), '00016-05': Decimal('1'), '00055-05': Decimal('1'), '00053-02': Decimal('1'), '00078-12': Decimal('1'), '00078-11': Decimal('1'), '00013-05': Decimal('1'), '00030-06': Decimal('1'), '00040-05': Decimal('1'), '00002-02': Decimal('1'), '00049-11': Decimal('1'), '00067-07': Decimal('1')}"
Delicate,"{'00022-07': Decimal('1'), '00020-02': Decimal('1'), '00065-11': Decimal('1'), '00001-07': Decimal('1'), '00026-07': Decimal('1'), '00076-06': Decimal('1'), '00054-02': Decimal('1'), '00079-11': Decimal('1'), '00048-12': Decimal('1'), '00029-08': Decimal('1'), '00080-07': Decimal('1'), '00040-01': Decimal('1'), '00060-01': Decimal('1')}"
