attribute,weights
Sizzling,"{'00019-04': Decimal('1'), '00058-06': Decimal('1'), '00004-03': Decimal('1'), '00012-06': Decimal('1'), '00021-08': Decimal('1'), '00012-05': Decimal('1'), '00074-02': Decimal('1'), '00064-08': Decimal('1'), '00028-06': Decimal('1'), '00047-04': Decimal('1'), '00060-03': Decimal('1'), '00008-10': Decimal('1')}"
Bell-like,"{'00034-06': Decimal('1'), '00006-12': Decimal('1'), '00043-03': Decimal('1'), '00020-07': Decimal('1'), '00027-08': Decimal('1'), '00041-06': Decimal('1'), '00061-04': Decimal('1'), '00033-01': Decimal('1'), '00015-01': Decimal('1'), '00026-02': Decimal('1'), '00015-11': Decimal('1'), '00043-01': Decimal('1')}"
Refined,"{'00044-04': Decimal('1'), '00045-05': Decimal('1'), '00047-09': Decimal('1'), '00025-08': Decimal('1'), '00039-08': Decimal('1'), '00073-10': Decimal('1'), '00059-12': Decimal('1'), '00078-04': Decimal('1'), '00052-12': Decimal('1'), '00006-01': Decimal('1'), '00004-01': Decimal('1'), '00041-06': Decimal('1'), '00028-03': Decimal('1'), '00080-04': Decimal('1'), '00044-02': Decimal('1')}"
Flabby,"{'00031-04': Decimal('1'), '00017-03': Decimal('1'), '00036-06': Decimal('1'), '00022-04': Decimal('1'), '00020-05': Decimal('1'), '00023-02': Decimal('1'), '00073-11': Decimal('1'), '00062-11': Decimal('1'), '00072-02': Decimal('1'), '00018-11': Decimal('1')}"
Articulate,"{'00019-05': Decimal('1'), '00071-06': Decimal('1'), '00070-08': Decimal('1'), '00027-08': Decimal('1'), '00050-09': Decimal('1'), '00038-07': Decimal('1'), '00014-03': Decimal('1'), '00070-01': Decimal('1'), '00071-01': Decimal('1'), '00018-11': Decimal('1'), '00078-12': Decimal('1'), '00056-04': Decimal('1'), '00006-05': Decimal('1'), '00005-06': Decimal('1'), '00023-11': Decimal('1'), '00040-05': Decimal('2'), '00080-08': Decimal('1'), '00049-11': Decimal('1')}"
Artificial,"{'00041-10': Decimal('1'), '00042-02': Decimal('1'), '00043-03': Decimal('1'), '00045-06': Decimal('1'), '00050-05': Decimal('1'), '00057-03': Decimal('1'), '00078-06': Decimal('1'), '00052-10': Decimal('1'), '00008-06': Decimal('1'), '00054-10': Decimal('1'), '00049-10': Decimal('1'), '00062-09': Decimal('1'), '00006-07': Decimal('1'), '00045-01': Decimal('1'), '00002-10': Decimal('1'), '00043-01': Decimal('1')}"
Vibrant,"{'00031-12': Decimal('1'), '00080-12': Decimal('1'), '00066-10': Decimal('1'), '00064-10': Decimal('1'), '00024-06': Decimal('1'), '00062-03': Decimal('1'), '00063-11': Decimal('1'), '00045-01': Decimal('1'), '00044-11': Decimal('1'), '00051-11': Decimal('1'), '00015-12': Decimal('1'), '00074-04': Decimal('1')}"
Bassy,"{'00018-02': Decimal('1'), '00072-07': Decimal('1'), '00065-11': Decimal('1'), '00069-01': Decimal('1'), '00053-09': Decimal('1'), '00074-02': Decimal('1'), '00015-03': Decimal('1'), '00014-11': Decimal('1'), '00006-02': Decimal('1'), '00011-09': Decimal('1'), '00015-09': Decimal('1'), '00062-09': Decimal('1'), '00015-08': Decimal('1'), '00023-10': Decimal('1')}"
Choked,"{'00017-03': Decimal('1'), '00055-08': Decimal('1'), '00037-06': Decimal('1'), '00050-12': Decimal('1'), '00057-03': Decimal('1'), '00058-07': Decimal('1'), '00030-01': Decimal('1'), '00027-10': Decimal('1'), '00079-01': Decimal('1'), '00049-10': Decimal('1'), '00049-03': Decimal('1'), '00028-06': Decimal('1'), '00064-01': Decimal('1'), '00067-07': Decimal('1'), '00046-04': Decimal('1')}"
Balanced,"{'00024-09': Decimal('1'), '00068-02': Decimal('1'), '00045-06': Decimal('1'), '00023-06': Decimal('1'), '00027-09': Decimal('1'), '00018-09': Decimal('1'), '00078-08': Decimal('1'), '00010-11': Decimal('1'), '00073-05': Decimal('1'), '00070-02': Decimal('1'), '00055-03': Decimal('1'), '00052-01': Decimal('1'), '00079-12': Decimal('1'), '00033-03': Decimal('1'), '00006-06': Decimal('1'), '00005-05': Decimal('1'), '00025-03': Decimal('1'), '00029-05': Decimal('1'), '00065-03': Decimal('1')}"
Chimey,"{'00006-01': Decimal('1'), '00018-04': Decimal('1'), '00076-01': Decimal('1'), '00018-06': Decimal('1'), '00010-12': Decimal('1'), '00038-07': Decimal('1'), '00035-04': Decimal('1'), '00051-02': Decimal('1'), '00080-04': Decimal('1')}"
Metallic,"{'00039-11': Decimal('1'), '00064-11': Decimal('1'), '00052-06': Decimal('1'), '00070-03': Decimal('1'), '00038-03': Decimal('1'), '00072-03': Decimal('1'), '00080-12': Decimal('1'), '00057-06': Decimal('1'), '00061-02': Decimal('1'), '00065-06': Decimal('1'), '00063-11': Decimal('1'), '00025-10': Decimal('1'), '00069-09': Decimal('1'), '00021-10': Decimal('1')}"
Big,"{'00042-01': Decimal('1'), '00003-09': Decimal('1'), '00035-04': Decimal('1'), '00035-02': Decimal('1'), '00079-12': Decimal('1'), '00010-08': Decimal('1'), '00074-10': Decimal('1'), '00012-04': Decimal('1'), '00025-02': Decimal('1'), '00025-10': Decimal('1'), '00041-01': Decimal('1'), '00009-11': Decimal('1'), '00061-12': Decimal('1')}"
Boomy,"{'00042-02': Decimal('1'), '00045-07': Decimal('1'), '00020-02': Decimal('1'), '00019-08': Decimal('1'), '00023-04': Decimal('1'), '00071-10': Decimal('1'), '00054-08': Decimal('1'), '00072-05': Decimal('1'), '00015-12': Decimal('1'), '00052-11': Decimal('1'), '00055-04': Decimal('1'), '00031-12': Decimal('1'), '00032-02': Decimal('1'), '00012-04': Decimal('1'), '00048-11': Decimal('1'), '00040-01': Decimal('1')}"
Dry,"{'00070-07': Decimal('1'), '00079-04': Decimal('1'), '00078-02': Decimal('1'), '00022-03': Decimal('1'), '00050-08': Decimal('1'), '00011-05': Decimal('1'), '00049-01': Decimal('1'), '00070-10': Decimal('1'), '00036-04': Decimal('1'), '00050-10': Decimal('1'), '00040-01': Decimal('1'), '00053-02': Decimal('1')}"
Chug,"{'00029-12': Decimal('1'), '00078-12': Decimal('1'), '00057-07': Decimal('1'), '00043-08': Decimal('1'), '00069-10': Decimal('1'), '00026-09': Decimal('1'), '00024-02': Decimal('1'), '00026-06': Decimal('1'), '00041-03': Decimal('1'), '00056-03': Decimal('1')}"
Boxy,"{'00042-01': Decimal('1'), '00045-07': Decimal('1'), '00018-04': Decimal('1'), '00025-06': Decimal('1'), '00017-06': Decimal('1'), '00018-09': Decimal('1'), '00036-02': Decimal('1'), '00075-02': Decimal('1'), '00076-08': Decimal('1'), '00010-11': Decimal('1'), '00018-12': Decimal('1'), '00036-12': Decimal('1'), '00076-10': Decimal('1'), '00033-08': Decimal('1'), '00061-05': Decimal('1'), '00021-01': Decimal('1'), '00066-03': Decimal('1'), '00049-05': Decimal('1'), '00060-01': Decimal('1'), '00043-12': Decimal('1')}"
Lush,"{'00052-08': Decimal('1'), '00022-06': Decimal('1'), '00037-05': Decimal('1'), '00037-10': Decimal('1'), '00039-12': Decimal('1'), '00005-01': Decimal('1'), '00030-05': Decimal('1'), '00014-06': Decimal('1'), '00017-09': Decimal('1'), '00047-01': Decimal('1'), '00027-04': Decimal('1'), '00028-05': Decimal('1'), '00009-03': Decimal('1'), '00047-05': Decimal('1'), '00065-02': Decimal('1')}"
Piercing,"{'00073-09': Decimal('1'), '00047-07': Decimal('1'), '00069-12': Decimal('1'), '00070-09': Decimal('1'), '00051-04': Decimal('1'), '00077-08': Decimal('1'), '00054-07': Decimal('1'), '00037-05': Decimal('1'), '00032-11': Decimal('1'), '00054-01': Decimal('1'), '00080-01': Decimal('1'), '00032-09': Decimal('1'), '00021-01': Decimal('1'), '00065-04': Decimal('1'), '00023-10': Decimal('1')}"
Grunting,"{'00039-11': Decimal('1'), '00065-12': Decimal('1'), '00068-10': Decimal('1'), '00055-09': Decimal('1'), '00011-02': Decimal('1'), '00032-12': Decimal('1'), '00075-07': Decimal('1'), '00038-03': Decimal('1'), '00064-09': Decimal('1'), '00016-09': Decimal('1'), '00005-06': Decimal('1'), '00024-04': Decimal('1'), '00002-11': Decimal('1'), '00021-12': Decimal('1'), '00063-03': Decimal('1')}"
Warm,"{'00066-10': Decimal('1'), '00019-07': Decimal('1'), '00077-07': Decimal('1'), '00038-05': Decimal('1'), '00072-10': Decimal('1'), '00054-03': Decimal('1'), '00038-02': Decimal('1'), '00055-02': Decimal('1'), '00035-07': Decimal('1'), '00058-08': Decimal('1'), '00005-04': Decimal('1'), '00079-11': Decimal('1'), '00060-09': Decimal('1'), '00048-11': Decimal('1'), '00044-10': Decimal('1'), '00028-02': Decimal('1'), '00072-08': Decimal('1'), '00070-04': Decimal('1'), '00045-08': Decimal('1'), '00069-10': Decimal('1'), '00018-09': Decimal('1'), '00073-12': Decimal('1'), '00057-12': Decimal('1'), '00035-03': Decimal('1'), '00056-01': Decimal('1'), '00078-04': Decimal('1'), '00016-01': Decimal('1'), '00054-01': Decimal('1'), '00059-07': Decimal('1'), '00008-03': Decimal('1'), '00013-05': Decimal('1'), '00047-10': Decimal('1'), '00045-12': Decimal('1'), '00065-05': Decimal('1'), '00009-11': Decimal('1')}"
Hissing,"{'00066-12': Decimal('1'), '00043-06': Decimal('1'), '00035-11': Decimal('1'), '00076-08': Decimal('1'), '00055-02': Decimal('1'), '00053-11': Decimal('1'), '00003-11': Decimal('1'), '00008-09': Decimal('1'), '00015-09': Decimal('1'), '00007-09': Decimal('1'), '00031-08': Decimal('1'), '00024-02': Decimal('1'), '00031-09': Decimal('1'), '00067-09': Decimal('1'), '00060-01': Decimal('1')}"
Scooped,"{'00017-02': Decimal('1'), '00006-01': Decimal('1'), '00022-09': Decimal('1'), '00021-02': Decimal('1'), '00023-05': Decimal('1'), '00007-09': Decimal('1'), '00037-03': Decimal('1'), '00048-12': Decimal('2'), '00057-11': Decimal('1'), '00068-08': Decimal('1'), '00039-01': Decimal('1'), '00026-12': Decimal('1')}"
Hairy,"{'00031-02': Decimal('1'), '00073-09': Decimal('1'), '00001-09': Decimal('1'), '00039-11': Decimal('1'), '00063-08': Decimal('1'), '00005-09': Decimal('1'), '00054-08': Decimal('1'), '00061-05': Decimal('1'), '00057-02': Decimal('1'), '00058-04': Decimal('1')}"
Vintage,"{'00020-03': Decimal('1'), '00073-08': Decimal('1'), '00049-08': Decimal('1'), '00067-10': Decimal('1'), '00024-05': Decimal('1'), '00017-07': Decimal('1'), '00050-02': Decimal('1'), '00016-06': Decimal('1'), '00050-05': Decimal('1'), '00032-01': Decimal('1'), '00050-11': Decimal('1'), '00031-02': Decimal('1'), '00005-11': Decimal('1'), '00004-12': Decimal('1'), '00034-04': Decimal('1'), '00045-11': Decimal('1'), '00028-02': Decimal('1')}"
Delicate,"{'00020-12': Decimal('1'), '00017-07': Decimal('1'), '00018-08': Decimal('1'), '00031-07': Decimal('1'), '00022-01': Decimal('1'), '00074-11': Decimal('1'), '00020-11': Decimal('1'), '00038-01': Decimal('1'), '00075-07': Decimal('1'), '00075-06': Decimal('1'), '00063-02': Decimal('1')}"
Fuzzy,"{'00066-01': Decimal('1'), '00047-08': Decimal('1'), '00043-03': Decimal('1'), '00046-09': Decimal('1'), '00012-02': Decimal('1'), '00072-11': Decimal('1'), '00053-03': Decimal('1'), '00039-01': Decimal('1'), '00011-08': Decimal('1'), '00077-10': Decimal('1'), '00029-12': Decimal('1'), '00031-12': Decimal('1'), '00056-06': Decimal('1'), '00063-08': Decimal('1'), '00011-03': Decimal('1'), '00023-12': Decimal('1'), '00002-02': Decimal('1'), '00068-07': Decimal('1'), '00029-02': Decimal('1')}"
Raw,"{'00041-10': Decimal('1'), '00038-07': Decimal('1'), '00078-05': Decimal('1'), '00052-03': Decimal('1'), '00071-12': Decimal('1'), '00004-10': Decimal('1'), '00007-04': Decimal('1'), '00060-07': Decimal('1'), '00052-10': Decimal('1'), '00058-09': Decimal('1'), '00007-03': Decimal('1'), '00023-11': Decimal('1'), '00049-01': Decimal('1'), '00041-05': Decimal('1'), '00068-09': Decimal('1'), '00065-08': Decimal('1'), '00065-05': Decimal('1'), '00021-10': Decimal('1')}"
Throaty,"{'00042-01': Decimal('1'), '00020-03': Decimal('1'), '00044-03': Decimal('1'), '00069-03': Decimal('1'), '00066-10': Decimal('1'), '00068-01': Decimal('1'), '00014-04': Decimal('1'), '00034-10': Decimal('1'), '00020-09': Decimal('1'), '00014-03': Decimal('1'), '00051-10': Decimal('1'), '00050-01': Decimal('1'), '00074-05': Decimal('1'), '00076-05': Decimal('1'), '00077-06': Decimal('1'), '00012-08': Decimal('1'), '00005-02': Decimal('1'), '00004-04': Decimal('1'), '00024-02': Decimal('1'), '00062-03': Decimal('1'), '00062-12': Decimal('1')}"
Saturated,"{'00022-07': Decimal('1'), '00017-06': Decimal('1'), '00036-03': Decimal('1'), '00076-08': Decimal('1'), '00012-12': Decimal('1'), '00077-03': Decimal('1'), '00059-08': Decimal('1'), '00055-11': Decimal('1'), '00033-04': Decimal('1'), '00010-05': Decimal('1'), '00040-08': Decimal('1'), '00010-04': Decimal('1'), '00046-03': Decimal('1'), '00008-12': Decimal('1'), '00060-02': Decimal('1'), '00049-05': Decimal('1'), '00040-10': Decimal('1')}"
Icepicky,"{'00047-06': Decimal('1'), '00004-08': Decimal('1'), '00050-10': Decimal('1'), '00030-03': Decimal('1'), '00060-06': Decimal('1'), '00011-03': Decimal('1'), '00040-07': Decimal('1'), '00010-04': Decimal('1'), '00021-12': Decimal('1'), '00025-10': Decimal('1'), '00062-10': Decimal('1'), '00069-08': Decimal('1'), '00066-06': Decimal('1')}"
Grotty,"{'00071-07': Decimal('1'), '00066-12': Decimal('1'), '00064-11': Decimal('1'), '00046-06': Decimal('1'), '00011-10': Decimal('1'), '00014-02': Decimal('1'), '00019-10': Decimal('1'), '00076-05': Decimal('1'), '00015-10': Decimal('1'), '00031-02': Decimal('1'), '00079-01': Decimal('1'), '00047-01': Decimal('1'), '00001-01': Decimal('1'), '00009-03': Decimal('1'), '00065-04': Decimal('1')}"
Tight,"{'00018-02': Decimal('1'), '00017-12': Decimal('1'), '00025-07': Decimal('1'), '00019-07': Decimal('1'), '00072-11': Decimal('1'), '00076-06': Decimal('1'), '00011-10': Decimal('1'), '00015-04': Decimal('1'), '00035-03': Decimal('1'), '00076-05': Decimal('1'), '00027-10': Decimal('1'), '00007-02': Decimal('1'), '00033-04': Decimal('1'), '00005-07': Decimal('1'), '00063-04': Decimal('1'), '00040-11': Decimal('1'), '00080-03': Decimal('1')}"
Aggressive,"{'00069-05': Decimal('1'), '00032-04': Decimal('1'), '00033-03': Decimal('1'), '00039-11': Decimal('1'), '00069-01': Decimal('1'), '00002-04': Decimal('1'), '00076-07': Decimal('1'), '00023-12': Decimal('1'), '00062-04': Decimal('1'), '00047-12': Decimal('1'), '00080-07': Decimal('1'), '00059-04': Decimal('1')}"
Thick,"{'00041-10': Decimal('1'), '00069-11': Decimal('1'), '00015-03': Decimal('1'), '00075-08': Decimal('1'), '00075-07': Decimal('1'), '00033-02': Decimal('1'), '00035-03': Decimal('1'), '00019-12': Decimal('1'), '00056-08': Decimal('1'), '00062-09': Decimal('1'), '00033-07': Decimal('1'), '00007-07': Decimal('1'), '00067-08': Decimal('1'), '00046-01': Decimal('1'), '00060-12': Decimal('1'), '00043-12': Decimal('1')}"
Pure,"{'00067-03': Decimal('1'), '00003-10': Decimal('1'), '00048-08': Decimal('1'), '00034-04': Decimal('1'), '00023-05': Decimal('1'), '00023-02': Decimal('1'), '00059-01': Decimal('1')}"
Chewy,"{'00069-03': Decimal('1'), '00050-07': Decimal('1'), '00039-05': Decimal('1'), '00073-10': Decimal('1'), '00070-12': Decimal('1'), '00033-01': Decimal('1'), '00013-10': Decimal('1'), '00075-06': Decimal('1'), '00073-04': Decimal('1'), '00053-02': Decimal('1'), '00014-10': Decimal('1'), '00056-07': Decimal('1'), '00015-08': Decimal('1'), '00040-06': Decimal('1')}"
Cutting,"{'00042-12': Decimal('1'), '00072-06': Decimal('1'), '00022-05': Decimal('1'), '00035-11': Decimal('1'), '00010-12': Decimal('1'), '00038-02': Decimal('1'), '00019-01': Decimal('1'), '00078-01': Decimal('1'), '00007-05': Decimal('1'), '00079-04': Decimal('1'), '00074-10': Decimal('1'), '00001-02': Decimal('1'), '00040-05': Decimal('1')}"
Detailed,"{'00038-10': Decimal('1'), '00042-04': Decimal('1'), '00019-08': Decimal('1'), '00050-06': Decimal('1'), '00069-11': Decimal('1'), '00020-06': Decimal('1'), '00004-09': Decimal('1'), '00012-01': Decimal('1'), '00028-10': Decimal('1'), '00053-11': Decimal('1'), '00014-08': Decimal('1'), '00031-05': Decimal('1'), '00049-02': Decimal('1'), '00030-08': Decimal('1'), '00029-07': Decimal('1'), '00065-08': Decimal('1'), '00046-01': Decimal('1'), '00068-06': Decimal('1')}"
Smokey,"{'00023-04': Decimal('1'), '00051-04': Decimal('1'), '00072-11': Decimal('1'), '00058-01': Decimal('1'), '00054-07': Decimal('1'), '00011-02': Decimal('1'), '00012-01': Decimal('1'), '00033-02': Decimal('1'), '00054-12': Decimal('1'), '00036-07': Decimal('1'), '00005-04': Decimal('1'), '00048-12': Decimal('1'), '00022-12': Decimal('1'), '00047-10': Decimal('1')}"
Fat,"{'00068-03': Decimal('1'), '00073-09': Decimal('1'), '00053-09': Decimal('1'), '00011-12': Decimal('1'), '00052-11': Decimal('1'), '00078-06': Decimal('1'), '00010-09': Decimal('1'), '00003-03': Decimal('1'), '00012-04': Decimal('1'), '00006-07': Decimal('1'), '00061-09': Decimal('1'), '00030-09': Decimal('1'), '00046-10': Decimal('1'), '00040-04': Decimal('1'), '00002-02': Decimal('1'), '00064-08': Decimal('1'), '00063-02': Decimal('1')}"
Mellow,"{'00042-01': Decimal('1'), '00067-03': Decimal('1'), '00017-08': Decimal('1'), '00012-10': Decimal('1'), '00074-04': Decimal('1'), '00060-08': Decimal('1'), '00012-06': Decimal('1'), '00008-08': Decimal('1'), '00047-01': Decimal('1'), '00066-08': Decimal('1'), '00026-10': Decimal('1'), '00048-05': Decimal('1'), '00041-02': Decimal('1'), '00006-10': Decimal('1')}"
Strained,"{'00073-09': Decimal('1'), '00037-03': Decimal('1'), '00039-08': Decimal('1'), '00003-08': Decimal('1'), '00035-08': Decimal('1'), '00005-12': Decimal('1'), '00054-11': Decimal('1'), '00080-12': Decimal('1'), '00006-04': Decimal('1'), '00005-02': Decimal('1'), '00075-10': Decimal('1'), '00066-09': Decimal('1'), '00029-07': Decimal('1'), '00046-03': Decimal('1'), '00044-01': Decimal('1')}"
Rich,"{'00075-09': Decimal('1'), '00001-08': Decimal('1'), '00019-08': Decimal('1'), '00020-06': Decimal('1'), '00043-09': Decimal('1'), '00052-09': Decimal('1'), '00034-10': Decimal('1'), '00015-03': Decimal('1'), '00036-05': Decimal('1'), '00019-10': Decimal('1'), '00073-04': Decimal('1'), '00034-12': Decimal('1'), '00006-04': Decimal('1'), '00057-07': Decimal('1'), '00079-03': Decimal('1'), '00008-08': Decimal('1'), '00024-12': Decimal('1'), '00064-12': Decimal('1'), '00009-11': Decimal('1')}"
Heavy,"{'00077-12': Decimal('1'), '00009-04': Decimal('1'), '00011-11': Decimal('1'), '00028-03': Decimal('1'), '00040-12': Decimal('1'), '00009-01': Decimal('1'), '00063-02': Decimal('1'), '00050-12': Decimal('1'), '00071-12': Decimal('1')}"
Fizzy,"{'00002-08': Decimal('1'), '00071-11': Decimal('1'), '00012-12': Decimal('1'), '00033-12': Decimal('1'), '00077-06': Decimal('1'), '00055-03': Decimal('1'), '00031-02': Decimal('1'), '00031-03': Decimal('1'), '00079-10': Decimal('1'), '00065-07': Decimal('1'), '00062-04': Decimal('1'), '00047-01': Decimal('1'), '00064-05': Decimal('1'), '00022-02': Decimal('1'), '00069-09': Decimal('1'), '00044-12': Decimal('1')}"
Flat,"{'00042-03': Decimal('1'), '00001-07': Decimal('1'), '00001-05': Decimal('1'), '00053-08': Decimal('1'), '00016-04': Decimal('1'), '00028-11': Decimal('1'), '00063-08': Decimal('1'), '00005-06': Decimal('1'), '00025-03': Decimal('1'), '00029-08': Decimal('1'), '00049-12': Decimal('1'), '00062-11': Decimal('1'), '00028-01': Decimal('1'), '00008-10': Decimal('1'), '00025-01': Decimal('1'), '00006-11': Decimal('1')}"
Crisp,"{'00046-05': Decimal('1'), '00006-09': Decimal('1'), '00075-03': Decimal('1'), '00058-12': Decimal('1'), '00054-05': Decimal('1'), '00079-08': Decimal('1'), '00035-08': Decimal('1'), '00078-03': Decimal('2'), '00080-11': Decimal('1'), '00014-06': Decimal('1'), '00001-02': Decimal('1'), '00044-12': Decimal('1'), '00020-02': Decimal('1'), '00032-12': Decimal('1'), '00074-05': Decimal('1'), '00058-05': Decimal('1'), '00072-03': Decimal('1'), '00030-01': Decimal('1'), '00080-01': Decimal('1'), '00053-11': Decimal('1'), '00078-11': Decimal('1'), '00008-09': Decimal('1'), '00063-08': Decimal('1'), '00063-01': Decimal('1'), '00044-02': Decimal('1')}"
Brutal,"{'00020-12': Decimal('1'), '00050-07': Decimal('1'), '00031-06': Decimal('1'), '00018-06': Decimal('1'), '00046-09': Decimal('1'), '00063-06': Decimal('1'), '00071-04': Decimal('1'), '00060-03': Decimal('1'), '00037-12': Decimal('1'), '00039-03': Decimal('1')}"
Huge,"{'00019-08': Decimal('1'), '00020-08': Decimal('1'), '00070-08': Decimal('1'), '00042-07': Decimal('1'), '00025-08': Decimal('1'), '00005-08': Decimal('1'), '00052-04': Decimal('1'), '00038-12': Decimal('1'), '00016-01': Decimal('1'), '00016-12': Decimal('1'), '00077-05': Decimal('1'), '00057-04': Decimal('1'), '00059-08': Decimal('1'), '00007-05': Decimal('1'), '00009-09': Decimal('1'), '00040-02': Decimal('1'), '00080-04': Decimal('1')}"
Raspy,"{'00017-03': Decimal('1'), '00024-06': Decimal('1'), '00068-11': Decimal('1'), '00034-10': Decimal('1'), '00075-01': Decimal('1'), '00076-09': Decimal('1'), '00056-04': Decimal('1'), '00056-05': Decimal('1'), '00007-05': Decimal('1'), '00012-09': Decimal('1'), '00040-03': Decimal('1'), '00049-07': Decimal('1'), '00069-07': Decimal('1'), '00061-12': Decimal('1')}"
Chunky,"{'00074-09': Decimal('1'), '00070-06': Decimal('1'), '00043-08': Decimal('1'), '00038-05': Decimal('1'), '00071-11': Decimal('1'), '00079-08': Decimal('1'), '00039-09': Decimal('1'), '00011-05': Decimal('1'), '00049-03': Decimal('1'), '00041-06': Decimal('1'), '00080-09': Decimal('1'), '00063-07': Decimal('1'), '00002-11': Decimal('1'), '00041-03': Decimal('1')}"
